Лавренюк А. М.,Програмне забезпечення обчислювальних систем,+5 до семестрового рейтингу,ФІ-13,1
Лавренюк А. М.,Програмне забезпечення обчислювальних систем,+5 до семестрового рейтингу,ФІ-14,1
Мачуський Є. А.,Основи квантової термодинаміки та метаматеріалів,+15 до семестрового рейтингу,ФЕ-01,1
Мачуський Є. А.,Основи квантової термодинаміки та метаматеріалів,+10 до семестрового рейтингу,ФЕ-01,1
Мачуський Є. А.,Основи квантової термодинаміки та метаматеріалів,+5 до семестрового рейтингу,ФЕ-01,1
Мачуський Є. А.,Основи наукових досліджень,+15 до семестрового рейтингу,ФЕ-11мп,1
Мачуський Є. А.,Основи наукових досліджень,+10 до семестрового рейтингу,ФЕ-11мп,1
Мачуський Є. А.,Основи наукових досліджень,+5 до семестрового рейтингу,ФЕ-11мп,1
Наказний П. О.,Диф.рівняння 1,"+5 до семестрового рейтингу, якщо більше 60","ФФ-01, ФФ-03",1
Наказний П. О.,Тензорний аналіз,"+5 до семестрового рейтингу, якщо більше 60","ФФ-01, ФФ-03",1
Ткач В. М.,Технології забезпечення якості програмних засобів,Любая лаба автоматом,"ФБ-91, ФБ-92, ФБ-93, ФБ-94, ФБ-95, ФБ-96, ФЕ-91, ФЕ-92, ФІ-91, ФІ-92, ФІ-93, ФІ-94",6
Фесенко А. В.,Квантові обчислення та квантова криптографія,"+ буква, якщо не з Fx",ФІ-02мн,1
Фесенко А. В.,Теорія складності,"+ буква, якщо не з Fx",ФІ-03,1
Фесенко А. В.,Теорія складності,"+ буква, якщо не з Fx",ФІ-04,1
Фесенко А. В.,Теорія складності,"+ буква, якщо не з Fx",ФІ-91,1
Фесенко А. В.,Теорія складності,"+ буква, якщо не з Fx",ФІ-92,1
Фесенко А. В.,Теорія складності,"+ буква, якщо не з Fx",ФІ-93,1
Фесенко А. В.,Теорія складності,"+ буква, якщо не з Fx",ФІ-94,1
Хмельницький М. О.,Алгебра та геометрія 1,+3 до семестрового рейтингу,ФБ-11,1
Хмельницький М. О.,Алгебра та геометрія 1,+3 до семестрового рейтингу,ФБ-12,1
Хмельницький М. О.,Алгебра та геометрія 1,+3 до семестрового рейтингу,ФБ-13,1
Хмельницький М. О.,Алгебра та геометрія 1,+3 до семестрового рейтингу,ФБ-14,1
Хмельницький М. О.,Алгебра та геометрія 1,+3 до семестрового рейтингу,ФЕ-11,1
Хмельницький М. О.,Алгебра та геометрія 1,+3 до семестрового рейтингу,ФФ-11,1
Хмельницький М. О.,Математичне програмування,+3 до семестрового рейтингу,"ФБ-91, ФБ-92, ФБ-93, ФБ-94, ФБ-95, ФБ-96, ФІ-91, ФІ-92, ФІ-93, ФІ-94",2
Южакова Г. О.,Перетворення Фур’є,+20 до семестрового рейтингу,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05, ФБ-06, ФЕ-01",1
Южакова Г. О.,Математичний аналіз 1,+20 до семестрового рейтингу,ФІ-11,1
Южакова Г. О.,Математичний аналіз 1,+20 до семестрового рейтингу,ФІ-12,1
Южакова Г. О.,Математичний аналіз 1,+20 до семестрового рейтингу,ФІ-13,1
Южакова Г. О.,Математичний аналіз 1,+20 до семестрового рейтингу,ФІ-14,1
Южакова Г. О.,Математичний аналіз 1,+20 до семестрового рейтингу,ФФ-11,1
Яйлимова Г. О.,Математичне моделювання,+10 до семестрового рейтингу,ФІ-91,1
Яйлимова Г. О.,Математичне моделювання,+10 до семестрового рейтингу,ФІ-92,1
Яйлимова Г. О.,Математичне моделювання,+10 до семестрового рейтингу,ФІ-93,1
Яйлимова Г. О.,Математичне моделювання,+10 до семестрового рейтингу,ФІ-94,1
